best 10 collocation in English 2 grams:

2000:

2000 0.959981707512363	Lutra lutra
1940 0.9599903216459988	Sotsialisticheskoe stroitelstvo
1940 0.9599903216459987	Ukon Takayama
1940 0.9599903216459987	Myrciaria cauliflora
1940 0.9599881523811716	Lobodon carcinophagus
1940 0.9599881523811716	Peumus boldus
1940 0.9599881523811716	Trichosporon beigelii
1940 0.9599881523811716	Jusa catlog
1940 0.9599881523811716	Gobiesox strumosus

1930:

1930 0.9599941674095162	Tul Karm
1930 0.9599939638648725	Micrurus fulvius
1930 0.959992031089721	Aporocactus flagelliformis
1930 0.9599729494535695	Wolzogen Kiihr
1930 0.9599729494535695	KALIDAS NAG
1930 0.9599729494535695	quietos Ignorare
1930 0.9599729494535695	Flaventes spicas
1930 0.9599729494535695	insidiosa sonis
1930 0.9599729494535695	storye contynewed
1930 0.9599729494535695	Feijoa sellowiana

1920:

Line 12238349: 1920 0.9599926885058354	Lampetra wilderi
1920 0.9599926885058354	saule pleureur
1920 0.9599926885058354	Gonioma Kamassi
1920 0.9599926885058354	PARAMYOCLONUS MULTIPLEX
1920 0.9599926885058354	siguiriya gitana
1920 0.9599926885058354	Onychodus sigmoides
1920 0.9599926885058354	Harindranath Chattopadhyaya
1920 0.9599926885058354	Brosimum Aubletii
1920 0.9599926885058354	iijs iiijd
1920 0.9599926885058354	Quidi Vidi

1910:

1910 0.9599965453975721	hoste doceri
1910 0.9599761375521622	Regumque turres
1910 0.9599686745387993	Dactylis glomerata
1910 0.9599675254558317	canimus surdis
1910 0.9599669061323558	Chikamatsu Monzaemon
1910 0.9599669061323558	postera Crescam
1910 0.9599669061323558	Mobilibus pomaria
1910 0.9599669061323558	muliebri ornatu
1910 0.9599418932289479	areae gastricae
1910 0.9599418932289479	Foveolae granulares

1900:

1900 0.959992123128821	Publichnaia Biblioteka
1900 0.9599860810952852	Diogenes Laertius
1900 0.9599701113026723	HALDANE MACFALL
1900 0.959969414022793	CONT ENTS
1900 0.9599672425843631	Proeve eener
1900 0.9599671485391337	ARSENE LUPIN
1900 0.9599550435107157	Cavalerie Legere
1900 0.9599550435107157	povere Isolette
1900 0.9599550435107157	Kinich Kakmo
1900 0.9599550435107157	LONGI TEMPORIS

1890:

1890 0.9599958584520917	Pangeran Makota
1890 0.9599825425272794	Sulphas Exsiccatus
1890 0.9599364002784951	Pacta Conventa
1890 0.959919755769071	VALUING ARTIFICERS
1890 0.9599099362211005	SACERDOTAL CELIBACY
1890 0.9598937421290479	Ecballium Elaterium
1890 0.9598632389880738	alvei Tiberis
1890 0.9598549756218766	Ceophlceus pileatus
1890 0.9598307841576672	curriculo pulverem
1890 0.9598207787708896	Alisma Plantago

1880:

Line 16257738: 1880 0.9599936913782274	Spenta Armaiti
1880 0.9599930207472953	increasand Homogeneous
1880 0.9599843556491506	tolerabiles ineptias
1880 0.9599682903143794	KU KLUX
1880 0.9599620073596229	Mene Tekel
1880 0.9599620073596229	leucoma adherens
1880 0.9599620073596229	itidem depascimur
1880 0.9599620073596229	Ayeen Akbery
1880 0.9599300965111528	Nyctala acadica
1880 0.9599300965111528	Kurzes Bekenntniss

1870:

1870 0.9599845522595131	Eschscholtzia californica
1870 0.9599471508693321	Otia Imperialia
1870 0.9599350170603616	mollities ossium
1870 0.9599301659990264	MachineWrought Hosiery
1870 0.9599243607834331	MARCO POLO
1870 0.9599123816033065	OPTIMO PRINCIPI
1870 0.9599123816033065	DOBBS SPAIGHT
1870 0.9599123816033065	JUMMA MUSJID
1870 0.9599123816033065	Bakariya Kund
1870 0.9599123816033065	Cephalothin Cephaloridine

1860:

1860 0.9599950121335952	TILBURY NOGO
1860 0.9599950121335952	damni infecti
1860 0.9599764206597143	symphysis pubis
1860 0.9599322168564703	THEBAN SUPREMACIES
1860 0.9599322168564703	Equitis Aurati
1860 0.9599239539062028	Goede Vrouw
1860 0.9598560097128447	Podophyllum peltatum
1860 0.9598451341468534	sella turcica
1860 0.9598374753629114	ISAMBARD BRUNEL
1860 0.9598361003729752	Regiam Majestatem

1850:

1850 0.9599972261533979	Ostorius Scapula
1850 0.9599837308677723	Kwang tung
1850 0.9599409430074226	Theydon Garnon
1850 0.9599409430074226	Didus ineptus
1850 0.9599409430074226	licen tiousness
1850 0.9599409430074226	emboss Overgrown
1850 0.9599409430074226	Stygias detrusit
1850 0.9599393434522483	Surya Siddhanta
1850 0.9599088338467622	Nicephore Niepce
1850 0.9599043278185249	VENANTIUS FORTUNATUS

1840:

1840 0.9599993651101298	Lattanzio Gorini
1840 0.9599901084919737	disio chiamate
1840 0.9599549111786441	Phra Klang
1840 0.95994193854762	Admodum Reverende
1840 0.95994193854762	Infelicitate Literatorum
1840 0.95994193854762	antiquitate defenduntur
1840 0.95994193854762	fogging proctorage
1840 0.95994193854762	Textrinum Antiquorum
1840 0.95994193854762	Oppius Cornicen
1840 0.95994193854762	Lalagen amabo

1830:

1830 0.9599747147277544	imminet angor
1830 0.9599103497955258	Corydon ardebat
1830 0.9599062868751201	Turbo rugosus
1830 0.9598852184461163	Evitata rotis
1830 0.9598852184461163	soueraine wittes
1830 0.9598852184461163	Vanitas Vanitatum
1830 0.9598852184461163	Rupertus Tuitiensis
1830 0.9598852184461163	conflictum progressuri
1830 0.9598852184461163	crys talline
1830 0.9598852184461163	afflictus hilarescat

1820:

1820 0.9599885475604673	INCORPOREAL HEREDITAMENTS
1820 0.9599815788367924	Cecropiae tetigissent
1820 0.9599765300168474	Placitorum Abbreviatio
1820 0.9599254129147238	kali purum
1820 0.9598730927118322	ESTUDIS CATALANS
1820 0.9598730927118322	Carminis Artifex
1820 0.9598730927118322	diemque Oderit
1820 0.9598730927118322	Plusia Gamma
1820 0.9598730927118322	Quadra Euclidis
1820 0.9598730927118322	Einion Yrth

1810:

1810 0.9599865906958519	Rehearsal transprosed
1810 0.9599864420109	lampada tradunt
1810 0.9599570537787886	Magnce Britannice
1810 0.9599570537787886	descensus Averni
1810 0.9599570537787886	Papilio Machaon
1810 0.9599570041958093	cineri doloso
1810 0.9598838206864725	Sidonius Apollinaris
1810 0.9598715138134142	Suessa Pometia
1810 0.9598628044756092	ANTIOCHUS EPIPHANES


1800:

1800 0.9599070826621501	Unitas Fratrum
1800 0.9598837177092528	fumat Neptunia
1800 0.9598837177092528	Decoctum Sarsaparillae
1800 0.9598837177092528	Lelio Cosmico
1800 0.9598837177092528	Venerabili Fratri
1800 0.9598837177092528	indigenarum Helvetiae
1800 0.9598837177092528	Cyrillo Padovano
1800 0.9598837177092528	Punctum Saliens
1800 0.9598837177092528	Minori Osservanti
1800 0.9598837177092528	Fenestra Ovalis

1790:

1790 0.9599940789071233	Scalpa Flow
1790 0.9599738521723057	Merry Wives
1790 0.95988675732168	unabridged facsimile
1790 0.9595809533002161	Thamas Kouli
1790 0.9594371742301888	appa rently
1790 0.9594371742301888	dra goons
1790 0.9594371742301888	Hesse Darmstadt
1790 0.9594371742301888	chartis amicitur
1790 0.9592477024273846	TN LONGMAN
1790 0.9591154490690651	Wat Tyler

1780:

1780 0.9599895325238739	tendo Achillis
1780 0.959803933766968	eras appone
1780 0.959803933766968	Danicarum Medii
1780 0.959803933766968	Fer dinand
1780 0.959803933766968	ulnis Oceanus
1780 0.959803933766968	Rhea Silvia
1780 0.959803933766968	CEdipus Coloneus
1780 0.959803933766968	SISTER ANGELICA
1780 0.959803933766968	horis Aptat
1780 0.959803933766968	Adiantum capillus

1770:

1770 0.9597678517119878	Ifaac Newton
1770 0.9595967752532386	Septem Fratres
1770 0.9592324054020108	Aylmer Maude
1770 0.9592324054020108	Colomba Mattei
1770 0.9592324054020108	tane fra
1770 0.9592324054020108	goddefs Ifis
1770 0.9590189262770571	Envoy Extraordinary
1770 0.959001570157224	Volatile Alkali
1770 0.9589455449679193	POMPONIUS ATTICUS
1770 0.9589455449679193	rapit varias

1760:

1760 0.9599938003918836	UTILITY PLEASES
1760 0.9599938003918836	Poultry Compter
1760 0.9599938003918836	conventus extitit
1760 0.9599938003918836	unda boves
1760 0.9599938003918836	offi cers
1760 0.9599938003918836	trahit amne
1760 0.9599863358765347	Small Pocks
1760 0.9593817681617695	coufin german
1760 0.9591266300726453	YORK PUBLIC
1760 0.9591184942255978	extraor dinary

1750:

1750 0.9599970275491595	poemata filo
1750 0.9599970275491595	Watchman waketh
1750 0.9599970275491595	utque pravis
1750 0.9599970275491595	Onus probandi
1750 0.9599970275491595	globi flammarum
1750 0.9599970275491595	reponere laetus
1750 0.9599970275491595	frigora mordent
1750 0.9599970275491595	Reverendum Virum
1750 0.9599970275491595	Carrick Fergus
1750 0.9599970275491595	HORSE GUARDS

1740:

1740 0.9593674089533144	regni noftri
1740 0.9589252731318743	Hap pinefs
1740 0.9588648724860224	Pragmatic Sanction
1740 0.9586901173554327	QU EEN
1740 0.9586901173554327	Bibliotheca Germanica
1740 0.9586901173554327	JOINT HEIRS
1740 0.9586901173554327	Platonis Dialogi
1740 0.9586901173554327	Chrif tian
1740 0.9586901173554327	Tusculan Questions
1740 0.9586901173554327	engineer Vauban

1730:

1730 0.9592971521897483	hun dred
1730 0.959283536497843	Belles Lettres
1730 0.9588328064109006	ASA CRAY
1730 0.9586490597134176	Demon ftration
1730 0.9582281828208074	tiled roofs
1730 0.9582281828208074	Papirius Carbo
1730 0.9581538533034624	Deed indented
1730 0.9578557267902634	bottomlefs Pit
1730 0.9578557267902634	Joannis Clerici
1730 0.9578326140926291	Gordian Knot

1720:

1720 0.9596291250912705	Sextus Empiricus
1720 0.9596246751892603	Kingdoms amended
1720 0.9596246751892603	ANNO DOMINI
1720 0.9595306450407403	zee schulle
1720 0.959381065482148	nostra confirmasse
1720 0.9591365404998907	frigore membra
1720 0.9591365404998907	spontanea voluntate
1720 0.9590957082485141	inhabitant householders
1720 0.9588819102411514	Lionel Walden
1720 0.9587792114605397	bet ween

1710:

1710 0.959134088745175	Bella gerant
1710 0.959134088745175	Aben Ezra
1710 0.959134088745175	Almost Forgotten
1710 0.959134088745175	GRAND ALLIANCE
1710 0.959134088745175	Romano Imperio
1710 0.959134088745175	Spi ritual
1710 0.959134088745175	Lawn Sleeves
1710 0.959134088745175	fre quent
1710 0.959134088745175	TS Ashton
1710 0.959134088745175	CALIFORNIA DAVIS

1700:
1700 0.9594782680754401	Rhode Island
1700 0.9584853810086004	Mourning Gloves
1700 0.9584853810086004	overthrew Sodom
1700 0.9584853810086004	Wif dom
1700 0.9584853810086004	Vox Populi
1700 0.9584853810086004	vegetable Beaux
1700 0.9584853810086004	pestilential sicknesses
1700 0.9584853810086004	uni verfal
1700 0.9584853810086004	Satyr intermixt
1700 0.9584853810086004	bilkt Hackney

1690:

1690 0.9597696610673061	San Francisco
1690 0.9597696610673061	Cornet Joyce
1690 0.9585686989747173	Trained Bands
1690 0.9580833396130107	Terraqueous Globe
1690 0.9567164901953147	Minucius Felix
1690 0.9566944209664425	gilt edges
1690 0.9557403316828994	Ma jefty
1690 0.9538108111104799	Au thority
1690 0.9538108111104799	sus CHRIST
1690 0.9538108111104799	rigidly exacted

1680:

1680 0.9589709544379905	AGAINST POPERY
1680 0.9573656913463947	Owen Connelly
1680 0.9573656913463947	Nemine Contradicente
1680 0.9570816104302804	ftumbling blocks
1680 0.9570816104302804	Elias Levita
1680 0.9554328316846553	Auricular Confeffion
1680 0.9554328316846553	SER MO
1680 0.9554328316846553	parenthesis inserted
1680 0.9554328316846553	bet ween
1680 0.9554328316846553	venerit hora

1670:

1670 0.9578200139648082	Take heed
1670 0.9570268603846043	EDWARD PHILLIPS
1670 0.9557493123278734	Simon Magus
1670 0.9541128352109062	Scarlet Robes
1670 0.9541128352109062	Humphrey Gilbert
1670 0.9541128352109062	Izaak Walton
1670 0.9513282564494003	divinely infpired
1670 0.94839648954332	ISSUED DATE
1670 0.9483153778851537	Theatrum Poetarum
1670 0.9475934830964374	Englands Crisis

1660:

1660 0.9585871896794403	inheritance immortal
1660 0.9585871896794403	liveth longest
1660 0.9576980274025474	Chief Justice
1660 0.956776640630478	Commissioner Pett
1660 0.9556735781389585	Miles Standish
1660 0.9554203309399122	ORIGINAL TONGUES
1660 0.954189796795306	United States
1660 0.9538308892605878	Baptists regarding
1660 0.9538308892605878	reliable commentary
1660 0.9538308892605878	Cornelius Vanderbilt

1650: 

1650 0.959819810831001	steam dredging
1650 0.959819810831001	worm dieth
1650 0.959819810831001	Emperor Vespasian
1650 0.959819810831001	post naufragium
1650 0.959819810831001	raising Mony
1650 0.959819810831001	hungry stomachs
1650 0.959819810831001	WHO HAD
1650 0.959819810831001	opportunity invite
1650 0.959819810831001	purifying properties
1650 0.959819810831001	hie erit

1640:

1640 0.9562487284212808	Salus Populi
1640 0.9535516333587076	Michaels Mount
1640 0.9535516333587076	Jeremiah Burroughs
1640 0.9519434005210462	Serpent Salve
1640 0.9519434005210462	folio weth
1640 0.9519434005210462	ardently longed
1640 0.9519434005210462	VON HUTTEN
1640 0.9519434005210462	SPANISH ARMADA
1640 0.9519434005210462	musket bullet
1640 0.9519434005210462	Real Presence

1630:

1630 0.958791884546673	officers elected
1630 0.9585724814622933	lazie husbands
1630 0.9585724814622933	Comites Palatini
1630 0.9581061680150076	DEAR SIR
1630 0.9572216108160851	Caleb Lyman
1630 0.955565268369944	Common Pleas
1630 0.9534542272463338	Green Dragon
1630 0.9530207065593633	Ricos hombres
1630 0.9528565998249185	hunc famulum
1630 0.9528565998249185	exaudi orationem

1620:

1620 0.9507238505202364	Holy Ghost
1620 0.949920077942326	RICHARD SIBBES
1620 0.949920077942326	HIS CALLING
1620 0.949920077942326	Be encouraged
1620 0.9499200779423259	fiue dayes
1620 0.9499200779423259	White Lion
1620 0.9499200779423259	elder brother
1620 0.9211392495031537	behaue themselues
1620 0.9211392495031537	fruitful year
1620 0.9211392495031537	OXFORD LONDON

1610:

1610 0.9547915437616031	Privy Council
1610 0.9547667057262736	FIRST EDITION
1610 0.9547667057262736	Three Bodies
1610 0.9547667057262736	Ten Commandments
1610 0.9547667057262736	ALL MY
1610 0.9547667057262736	statements contained
1610 0.9547667057262736	Sixth Article
1610 0.9547667057262736	results obtained
1610 0.9547667057262736	astronomical units
1610 0.9547667057262736	THREE BODIES

1600:

1600 0.9547528005604429	fo Divine
1600 0.9547528005604429	perad venture
1600 0.9282029466889855	Station j
1600 0.9282029466889855	miranti jam
1600 0.9282029466889855	cutting blow
1600 0.9282029466889855	ista jocandi
1600 0.9282029466889855	certain Hymns
1600 0.9282029466889855	ND IS
1600 0.9282029466889855	BY JOHN
1600 0.9282029466889855	Pope Gregory
1600 0.9282029466889855	Emperor Galba

1590:

1590 0.9570589364021688	Original reads
1590 0.956902102259398	inseparable accident
1590 0.956902102259398	bearing Armes
1590 0.956902102259398	Covent Garden
1590 0.956902102259398	FOUR LETTERS
1590 0.956902102259398	buckram giants
1590 0.956902102259398	prouerbe saith
1590 0.956902102259398	chestnut forests
1590 0.956902102259398	Too Late
1590 0.956902102259398	laughing stocke

1580:

1580 0.958778999778733	Nicene Creed
1580 0.9561770278813163	Original Sin
1580 0.9561674740778733	della Casa
1580 0.9546288931197329	Golden Age
1580 0.9512776777970191	Savoy Declaration
1580 0.9511086610383017	Romantic Movement
1580 0.949543374534688	window sill
1580 0.949543374534688	FW Robertson
1580 0.949543374534688	Roland Holst
1580 0.949543374534688	WM Rossetti

1570:

1570 0.9598260756029546	cheerful auspices
1570 0.9598260756029546	Cardinal Zelada
1570 0.9598260756029546	affording instruction
1570 0.9598260756029546	wrote requesting
1570 0.9598260756029546	Phillips stood
1570 0.9598260756029546	conciliatory efforts
1570 0.9598260756029546	BASQUE ROADS
1570 0.9598260756029546	settlement apparently
1570 0.9598260756029546	Wil l
1570 0.9598260756029546	imperial magnificence
