2 grams hebrew collocations:

2000:

2000 0.9599864460469258	באהבתה תשגה
1950 0.9599779391677141	פיטורים שרירותיים
1950 0.9599779391677141	יפתי ולכי
1950 0.9599779391677141	סופריו ומשורריו
1950 0.9599779391677141	אנודות אנודות
1950 0.9598164147484379	היכלא דכסיפין
1950 0.9598164147484379	המצפצפים והמהגים
1950 0.9598164147484379	הריפובליקות הסובייטיות
1950 0.9598164147484379	להרס ולחורבן

1940:

1940 0.9599027279056971	יבשו עצמותינו
1940 0.9597436042646387	בואנוס איירס
1940 0.9597436042646387	מכאוביו ויסוריו
1940 0.9597436042646387	נוכלים ורמאים
1940 0.9597436042646386	הרכות והענוגות
1940 0.9597436042646386	חדשיכם ומועדיכם
1940 0.9597436042646386	משגיאות ויראנו
1940 0.9597436042646386	מנודה ומוחרם
1940 0.9597436042646386	מנוקד ומצויר
1940 0.9597436042646386	יאן סובייסקי

1930:

1930 0.959863713160307	הילודה והתמותה
1930 0.959863713160307	בעלו למואב
1930 0.9595120836999564	כמותית ואיכותית
1930 0.9595120836999564	דאגותיו וצרותיו
1930 0.9595120836999564	ואמצא האכסדראות
1930 0.9595120836999564	ולביתו ולכסותו
1930 0.9595120836999564	נהרא ופשטיה
1930 0.9595120836999564	וישלחהו מעמק
1930 0.9595120836999564	פקדונות וחסכונות
1930 0.9595120836999564	וחתניו לוקחי

1920:

1920 0.9598686907201393	בתכנו ובצורתו
1920 0.9596890708708854	רישיה סיפיה
1920 0.9596890708708854	חרבך הנפת
1920 0.9596890708708854	דמיחזי כיוהרא
1920 0.9596387815901366	ודבק באשתו
1920 0.9595162134310261	ממדריגה למדריגה
1920 0.959194533970228	אסקופה נדרסת
1920 0.9590900523833392	ואדברה ותשמע
1920 0.9590327055020299	גפי מרומי
1920 0.9588360439155897	שיג ושיח

1910:

1910 0.9598353123891371	שמעיה ואבטליון
1910 0.9597800773304199	הזרוע והלחיים
1910 0.9596149429473837	שמריה לוין
1910 0.9593001793113478	נעלתים לכלותם
1910 0.9593001793113478	יפוצו מעינותיך
1910 0.9588808098180549	אלפא ביתא
1910 0.9586980110228763	שלישים במועצות
1910 0.9586361015756059	ויאכלו וישתו
1910 0.9581188090743569	העריצו והקדישו
1910 0.9581188090743569	ודרשת וחקרת

1900:

1900 0.9599293705345867	הנבלות תדברי
1900 0.9599293705345867	משכימין ומעריבין
1900 0.9599293705345865	מדומם לצומח
1900 0.9599293705345865	נתרחב ונתפשט
1900 0.9598950061822121	סייגים וגדרים
1900 0.959793769818048	המלוך תמלוך
1900 0.9597401627302237	יונית ורומית
1900 0.959626204920197	בכבודי ובעצמי
1900 0.959626204920197	מדד בשעלו
1900 0.959626204920197	עוכר שארו

1890:

1890 0.9599189561871102	אגורה באהלך
1890 0.9599189561871102	הזהירות והזריזות
1890 0.9599189561871102	ואברכה מברכיך
1890 0.9599189561871102	ולהשבית מאנוש
1890 0.9599189561871102	ביחודא שלים
1890 0.9599189561871102	תקשו ערפכם
1890 0.9598545314521325	כצפרים עפות
1890 0.9598545314521324	מעונה ומדוכה
1890 0.9597685178485423	מועקה במתני
1890 0.9597685178485423	סמא דמותא

1880:

1880 0.9599862188061322	סואן ברעש
1880 0.9599791331079526	קטטות ומריבות
1880 0.9599791331079526	בקלקולה יזיר
1880 0.9599791331079526	ותשליך במצולות
1880 0.9599791331079526	שקיל וטרי
1880 0.9599791331079526	תהומות נבקעו
1880 0.9599791331079526	משאם ומתנם
1880 0.9599791331079526	ופטורי ציצים
1880 0.9599789697656382	חנון ורחום
1880 0.9599272647973297	נכסוף נכספתי

1870:

1870 0.9598752655649936	שארה כסותה
1870 0.9598313810357101	גנת ביתן
1870 0.9597356818995085	המחדש בטובו
1870 0.9595541744009132	הפילוסופיא הדתית
1870 0.9595383619753065	נקימה ונטירה
1870 0.9595383619753065	בזבח ובמנחה
1870 0.9594306882231313	יעידון ויגידון
1870 0.9594306882231313	השחיתו התעיבו
1870 0.9593747967870345	ממקוס למקוס
1870 0.9592203748945203	נגוע ומוכה

1860:

1860 0.9599280632487569	חנון ורחום
1860 0.9597884879517399	הודך והדרך
1860 0.959781891439021	ומזוזה בפתחו
1860 0.9597458637764362	וקלי וכרמל
1860 0.9595669477345262	לרעים ולטובים
1860 0.9595669477345262	כעמיר גורנה
1860 0.9595204165197415	הקמח וצפחת
1860 0.9592487300686143	כהניה נאנחים
1860 0.9592487300686143	צרופים ומזוקקים
1860 0.9592487300686143	הטומאות והטהרות

1850:

1850 0.9599794360335783	נמשל כבהמות
1850 0.9599571525082442	בגבעון דום
1850 0.9598022077469314	מסית ומדיח
1850 0.9596483789015594	נעות המרדות
1850 0.9596483789015594	תמכרו ממכר
1850 0.9596441856705892	ולאשתו כתנות
1850 0.9596441856705892	ואיבה אשית
1850 0.9596441856705892	ברחיצה וסיכה
1850 0.9596441856705892	דרשוני וחיו
1850 0.9596441856705892	שברת ושמתם

1840:

1840 0.9598710605890978	כפתור ופרח
1840 0.9598710605890978	מתוקים כדבש
1840 0.9598463269282809	העמיק הרחיב
1840 0.9598463269282809	אפך כתפוחים
1840 0.9598463269282809	ויאכלו וישתו
1840 0.9598463269282809	וריח אפך
1840 0.9598463269282809	אלופי ומיודעי
1840 0.9598463269282809	קצתו בקצתו
1840 0.9598408915807755	הנאנחים והנאנקים
1840 0.9598408915807755	כנור ונבל

1830:

1830 0.9596520784388184	לאביו ולאמו
1830 0.959612340304393	שי למורא
1830 0.9585573677737497	מהירים במלאכתם
1830 0.9585573677737497	והיתום והאלמנה
1830 0.9585573677737497	כתובת קעקע
1830 0.9585573677737497	יומין יתיב
1830 0.9585573677737497	ישום וישרוק
1830 0.9585573677737497	רובא דמינכר
1830 0.9585573677737497	להתוודע ולהגלות
1830 0.9585573677737497	להאכילו ולהשקותו

1820:

1820 0.9598405429835882	כליות יועצות
1820 0.9598405429835882	כמראה מלוטשת
1820 0.9598405429835882	שקולים בפלס
1820 0.9598405429835882	יגון ואנחה
1820 0.9598405429835882	כקטן כגדול
1820 0.9595876658042923	השכלים הנבדלים
1820 0.9587358027859283	האזרחי והימן
1820 0.9587358027859283	חתיכה דאיסורא
1820 0.9585911374059236	לציון גואל
1820 0.958325665614389	ימין ושמאל

1810:

1810 0.9596961693936795	מאז השמעתיך
1810 0.9578750928406115	משעת יצירתו
1810 0.9578750928406115	בדמותו ובצלמו
1810 0.9578750928406115	נצור לשונך
1810 0.9578750928406115	פדות נפשנו
1810 0.9573004211925047	פתוח תפתח
1810 0.9566359192035182	רכיל מגלה
1810 0.9566359192035182	ומרבה לסלוח
1810 0.9560534799687624	מהרה ירוץ
1810 0.9549580540872702	פילון היהודי

1800:

1800 0.958729748139807	ארך אפים
1800 0.958729748139807	הבוערים בעם
1800 0.958729748139807	תחיה בעליה
1800 0.958729748139807	בעב הענן
1800 0.958729748139807	העבר והעתיד
1800 0.958729748139807	הנלות המר
1800 0.958729748139807	החיה באופנים
1800 0.9578588268469881	ההויה וההפסד
1800 0.9574841649248715	השכלים הנפרדים
1800 0.9563949948107133	ביתר שאת

1790:

1790 0.9596683998216604	בקיצור נמרץ
1790 0.9596683998216604	ואגב אעיר
1790 0.9596683998216604	למר עוקבא
1790 0.9596683998216604	פוקד עון
1790 0.9596683998216604	לחיי נצה
1790 0.9596683998216604	צאת הככבים
1790 0.9596683998216604	הרוחות המנשבות
1790 0.9596683998216604	מהדת הנוצרית
1790 0.9596683998216604	שבתוך החג
1790 0.9596683998216604	ושני תלמידיו

1780:

1780 0.9522704187169854	ידוע יהיה
1780 0.9420328271617251	במראות הלילה
1780 0.9420328271617251	הית השדה
1780 0.9420328271617251	החלום ופתרונו
1780 0.9244706196421104	יעברו עליך
1780 0.9244706196421104	פחת עבר
1780 0.9132725112561091	שנים יעברו
1780 0.9050365715873718	הנניה מישאל
1780 0.9050365715873718	עבר הנהר
1780 0.8970699947664413	ויענו ויאמרו

1760:

1760 0.9513919944914575	מלמד שהבעל
1760 0.9513919944914575	נימול לשמנה
1760 0.9513919944914575	שתים לפניה
1760 0.9513919944914575	ושניהם מודים
1760 0.9513919944914575	וקנינו מיד
1760 0.9513919944914575	כמעשים האלה
1760 0.9513919944914575	ונשוא פנים
1760 0.9513919944914575	לאותה בושה
1760 0.9513919944914575	המשא והמתן
1760 0.9513919944914575	למדינת הים

1750:

1750 0.9575898809158636	והעידו שראו
1750 0.9575898809158636	בלולה בשמן
1750 0.9575898809158636	הוד והדר
1750 0.9575898809158636	הנשמות שבגוף
1750 0.9542747757543975	לאברהם ליצהק
1750 0.9517392171279553	בקרן מערבית
1750 0.9508045856817879	מערבית דרומית
1750 0.9496645677130606	מימות עזרא
1750 0.9496645677130606	האלפים והמאות
1750 0.9496645677130606	הישנה שחרית

1700:

1700 0.9589220980321045	הנך רואה
1700 0.9575631033918299	וממצרים קראתי
1700 0.954159130274046	הדש ורוה
1700 0.954159130274046	הטובות הגשמיות
1700 0.954159130274046	מפיו ושקוציו
1700 0.954159130274046	ים ומנהר
1700 0.954159130274046	במערת המכפלה
1700 0.954159130274046	הזקה ובזרוע
1700 0.954159130274046	בירושלים וששתי
1700 0.954159130274046	בכסף דלים

1690:

1690 0.9570694453285907	הברונזה המאותרת
1690 0.9539462689866468	בדיקות מעבדתיות
1690 0.9539462689866468	מאורעות 1936
1690 0.9539462689866468	מלאכת מחשבת
1690 0.9539462689866468	שליד משרד
1690 0.9539462689866468	ישאל השואל
1690 0.9539462689866468	כשהוא גדל
1690 0.9539462689866468	תת קרקעי
1690 0.9539462689866468	מקבלת צורת
1690 0.9539462689866468	במכתב ההמלצה

1680:

1680 0.9494314714822477	מועד לשבור
1680 0.9494314714822477	אתו בכתובים
1680 0.9494314714822477	מרום ונשנב
1680 0.9494314714822477	בעברה וזעם
1680 0.9494314714822477	שוטה ורשע
1680 0.9494314714822477	מתעורר להחזיק
1680 0.9494314714822477	בעבור הבצע
1680 0.9494314714822477	אומר השב
1680 0.9494314714822477	מצות ומרורים
1680 0.9494314714822477	מאנשי הצבא

1670:

1670 0.9591903176082439	ותמרות עשן
1670 0.9591903176082438	רוב עונך
1670 0.9590408376032049	ויהיו שקוצים
1670 0.9590408376032049	לבעל פעור
1670 0.9557735586112681	אכילה גסה
1670 0.9557410611124743	אהבו הבו
1670 0.9557410611124743	ויין ענושים
1670 0.9557410611124743	שלחתי בכם
1670 0.9557410611124743	עצירת גשמים
1670 0.9557410611124743	דירת קבע

1620:

1620 0.958668954048243	אורח בזמנו
1620 0.958668954048243	אזלינן בתר
1620 0.958365965664419	שירת האזינו
1620 0.958365965664419	תתנו בבשרכם
1620 0.958365965664419	קפצה פיה
1620 0.958365965664419	ונקרא חוטא
1620 0.958365965664419	בראיה ברורה
1620 0.958365965664419	לעונת מעשרות
1620 0.958365965664419	תקיפו פאת
1620 0.958365965664419	נטילת ירים

1560:

1560 0.9591202079623681	ונאמר להלן
1560 0.9581906810548443	בהר סיני
1560 0.9575760018485102	צריכה לגופה
1560 0.9575011554707265	יריעה רחבה
1560 0.9575011554707265	מנקודת ראות
1560 0.9575011554707265	הרצאות שהושמעו
1560 0.9575011554707265	צאן בחל
1560 0.9575011554707265	בראוי להן
1560 0.9575011554707265	כרעי המיטה
1560 0.9575011554707265	מוליך ומביא

1540:

1540 0.9584100561260857	התנועה היומית
1540 0.957691892035782	מרום עיניכם
1540 0.957691892035782	מזיו השכינה
1540 0.957691892035782	בירידת המטר
1540 0.957691892035782	האיר עינינו
1540 0.957691892035782	השתנות הזמנים
1540 0.957691892035782	הכוכבים הקיימים
1540 0.957691892035782	אהפוץ במות
1540 0.957691892035782	שיר ושבה
1540 0.957691892035782	והצנע לכת

1530:

1530 0.9546057740422577	לעתיד לבוא
1530 0.9546057740422577	באלה שמות
1530 0.9398676722889153	ממלאכי השרת
1530 0.9398676722889153	באותה שעת
1530 0.9398676722889153	בשר ודם
1530 0.9398676722889153	יושב לימין
1530 0.9262302866843728	בראש הספר
1530 0.9217201016843595	ואחד בימי
1530 0.9067852894477193	שוב אינו
1530 0.9067852894477193	משתמשים בבת
